Reported Date,Total Dead and Missing,Location Coordinates
"March 20, 2023",1,"8.480785482, -77.583226"
"March 20, 2023",2,"8.480785482, -77.583226"
"March 20, 2023",1,"8.480785482, -77.583226"
"March 21, 2023",38,"23.6210123, -15.883634"
"March 21, 2023",1,"52.81520614, 23.911705"
"March 25, 2023",2,"33.01660256, 12.128132"
"March 25, 2023",8,"35.50054684, 11.119404"
"March 25, 2023",19,"35.40740084, 11.674661"
"March 25, 2023",42,"34.97693453, 11.083634"
"March 24, 2023",1,"52.76905161, 23.881466"
"February 11, 2023",1,"32.17263448, -110.93589"
"March 24, 2023",2,"29.45442775, -98.741613"
"March 25, 2023",1,"29.4343026, -98.461267"
"March 24, 2023",1,"28.71027392, -100.510292"
"March 20, 2023",1,"24.158936, -82.004004"
"March 28, 2023",11,"11.2316109, 49.198796"
"March 28, 2023",16,"17.22455007, -62.246245"
"March 23, 2023",1,"35.8943104, -5.335607"
"March 24, 2023",5,"38.84831858, 0.13222"
"March 24, 2023",11,"38.84831858, 0.13222"
"March 26, 2023",1,"53.34367742, 23.782851"
"March 30, 2023",2,"44.99574468, -74.679029"
"March 30, 2023",2,"44.99574468, -74.679029"
"March 30, 2023",4,"44.99574468, -74.679029"
"April 01, 2023",6,"37.57647053, -0.98336"
"March 29, 2023",1,"28.96181707, -99.899813"
"April 05, 2023",1,"32.72354098, 14.054124"
"April 07, 2023",1,"32.70830818, 20.939277"
"April 09, 2023",4,"31.70476985, 25.167202"
"April 07, 2023",20,"34.74404636, 10.796606"
"April 08, 2023",7,"34.74404636, 10.796606"
"April 09, 2023",20,"35.414808, 12.396939"
"April 08, 2023",3,"29.220188, -10.40739"
"April 08, 2023",8,"29.220188, -10.40739"
"April 07, 2023",1,"55.45041386, 26.33321"
"April 11, 2023",32,"35.05559404, 11.065236"
"April 03, 2023",1,"28.68318597, -100.508467"
"April 05, 2023",1,"28.68239996, -100.508049"
"April 05, 2023",2,"31.71184656, -106.373511"
"April 07, 2023",1,"28.33119466, -100.302961"
