Reported Date,Total Dead and Missing,Location Coordinates
"May 21, 2019",1,"35.893057403700, -5.885681622862"
"May 21, 2019",1,"32.263884000000, -111.324478000000"
"May 21, 2019",1,"35.716289966858, -5.841888902909"
"May 20, 2019",1,"16.376172491878, -94.206270583941"
"May 20, 2019",1,"50.932952900000, 2.001427300000"
"May 20, 2019",1,"27.070487529091, -98.078634912618"
"May 19, 2019",1,"31.783890467940, -107.209294206590"
"May 19, 2019",3,"-12.789682767218, 45.251663570117"
"May 19, 2019",1,"32.057499000000, -111.666072500000"
"May 16, 2019",5,"38.658925649218, 43.307213902842"
"May 16, 2019",3,"27.624075902336, -15.758543962674"
"May 16, 2019",1,"45.015152344951, -73.363652062942"
"May 16, 2019",29,"10.482858899944, -61.985163620023"
"May 15, 2019",22,"38.701231409345, 44.242474772221"
"May 15, 2019",1,"32.331803200000, -112.524509300000"
"May 14, 2019",1,"19.408660000000, -98.118324500000"
"May 14, 2019",1,"31.761877800000, -106.485021700000"
"May 13, 2019",1,"25.805945517274, -101.007119514900"
"May 13, 2019",5,"34.375232060284, 35.469930089916"
"May 13, 2019",1,"17.978890812244, -92.821729096217"
"May 13, 2019",1,"32.057499000000, -111.666072500000"
"May 12, 2019",1,"32.057499000000, -111.666072500000"
"May 12, 2019",1,"32.057499000000, -111.666072500000"
"May 12, 2019",1,"41.327261927730, 26.509923237185"
"May 12, 2019",3,"0.462081800000, -77.942670600000"
"May 11, 2019",1,"17.731071870208, -95.131446727717"
"May 10, 2019",59,"34.643922078001, 11.321992814062"
"May 10, 2019",1,"31.763443183325, -106.506078588460"
"May 09, 2019",1,"32.057499000000, -111.666072500000"
"May 08, 2019",2,"36.264122400000, -6.087392200000"
"May 08, 2019",1,"28.330829835978, -100.302247520040"
"May 08, 2019",1,"17.555709223241, -92.338776619039"
"May 07, 2019",1,"29.063830800000, -13.767578800000"
"May 07, 2019",1,"32.057499000000, -111.666072500000"
"May 07, 2019",1,"32.057499000000, -111.666072500000"
"May 06, 2019",1,"27.499010531168, -99.508511442238"
"May 05, 2019",2,"16.416331403204, -92.259368268791"
"May 05, 2019",1,"27.495635827252, -99.489473063115"
"May 05, 2019",4,"1.922841616958, 104.155461901390"
"May 04, 2019",1,"36.076291184400, -5.363376372407"
"May 04, 2019",1,"19.072646808516, -98.176404241764"
"May 03, 2019",12,"39.290756355278, 26.576426980349"
"May 03, 2019",1,"35.551732300000, -5.242166900000"
"May 02, 2019",4,"35.878756157909, -5.923018985249"
"May 02, 2019",1,"35.838369395033, -5.982963672224"
"May 01, 2019",1,"28.722695900000, -100.516604700000"
"May 01, 2019",4,"29.333146234091, -100.939984373880"
"May 01, 2019",1,"45.613822608504, 15.307654498503"
"May 01, 2019",9,"35.865296909887, -5.827087844922"
"May 01, 2019",1,"37.029691799435, 27.407797996018"
"April 30, 2019",1,"28.706848426914, -100.507718230750"
"April 30, 2019",1,"27.749029800000, -97.386347400000"
"April 29, 2019",1,"28.719692199043, -100.507659052390"
"April 29, 2019",1,"35.894568730531, -5.320015124329"
"April 29, 2019",1,"27.480018660430, -99.479560663446"
"April 29, 2019",1,"28.721617905220, -100.509750104540"
"April 28, 2019",1,"16.237138500000, -93.898627900000"
"April 27, 2019",21,"35.021851457349, -2.230722467043"
"April 27, 2019",1,"27.380512013318, -99.492674486557"
"April 27, 2019",1,"20.050684000000, 5.543735000000"
"April 26, 2019",1,"19.585037700000, -98.566607700000"
"April 26, 2019",2,"17.012219000000, 7.981361000000"
"April 25, 2019",1,"32.631914996941, -116.971303001980"
"April 25, 2019",1,"28.711263267830, -100.508120251560"
"April 25, 2019",1,"8.156476000000, 23.136693000000"
"April 24, 2019",23,"10.578663719686, -61.791136728418"
"April 24, 2019",1,"28.680971825682, -100.507273574990"
"April 23, 2019",3,"17.840917300000, -92.618927300000"
"April 23, 2019",1,"28.740755680613, -100.507374644040"
"April 23, 2019",1,"27.422505556571, -99.495945713920"
"April 23, 2019",1,"15.171484816041, -92.532523514258"
"April 23, 2019",1,"8.618269710322, -77.658045513297"
"April 23, 2019",1,"7.738804000000, -5.006729000000"
"April 23, 2019",1,"5.446192000000, -3.995437000000"
"April 22, 2019",1,"31.619525100000, -111.975696400000"
"April 22, 2019",1,"32.464094935713, -113.108028066410"
"April 22, 2019",1,"32.041316121813, -112.977695335160"
"April 22, 2019",1,"32.055811554101, -113.000354636910"
"April 22, 2019",4,"35.856516686828, -5.294925267754"
"April 22, 2019",1,"26.068308625732, -97.154688461478"
"April 22, 2019",1,"5.446192000000, -3.995437000000"
"April 22, 2019",1,"11.115414000000, 0.009824000000"
"April 21, 2019",1,"32.398025736282, -113.293422353520"
"April 21, 2019",1,"32.404747477113, -113.248328906010"
"April 21, 2019",1,"12.432517000000, -1.520122000000"
"April 20, 2019",3,"18.453137000000, 1.418440000000"
"April 19, 2019",1,"27.504285017199, -99.528458650635"
"April 19, 2019",4,"37.995147056170, 44.266898901367"
"April 19, 2019",1,"31.353727052105, -110.888963067180"
"April 19, 2019",2,"9.979551000000, -5.149875000000"
"April 18, 2019",1,"14.641423100000, -90.546206900000"
"April 17, 2019",2,"26.951081889274, -98.367782302940"
"April 17, 2019",1,"29.320788246248, -100.917525823680"
"April 17, 2019",1,"9.924704000000, -3.415450000000"
"April 17, 2019",1,"11.810175000000, 3.066426000000"
"April 14, 2019",1,"37.831638331866, 26.697766507964"
"April 14, 2019",2,"13.862063000000, -2.846229000000"
"April 14, 2019",6,"14.238281000000, -0.863079000000"
"April 14, 2019",2,"5.446192000000, -3.995437000000"
"April 14, 2019",1,"12.432517000000, -1.520122000000"
"April 14, 2019",1,"6.362728000000, 2.300038000000"
"April 14, 2019",1,"6.786888000000, -1.589971000000"
"April 14, 2019",1,"12.432517000000, -1.520122000000"
"April 12, 2019",6,"38.035736716402, 44.290931494141"
"April 12, 2019",1,"31.759988640987, -106.502430750460"
"April 12, 2019",3,"14.238281000000, -0.863079000000"
"April 12, 2019",2,"5.448645000000, -4.026206000000"
"April 12, 2019",1,"14.040163000000, -0.019604000000"
"April 11, 2019",1,"27.476374405786, -99.482152273910"
"April 11, 2019",1,"28.707883038393, -100.511306504710"
"April 10, 2019",1,"33.396503389202, 12.252819237099"
"April 10, 2019",1,"27.216474100000, -98.184402600000"
"April 10, 2019",1,"27.170058000000, -98.177563800000"
